3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
3321, kayn, /usr/lib/xorg/Xorg, 3317, gdm-x-session
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
278755, kayn, bash, 5089, gnome-terminal-
474200, kayn, bash, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
474201, kayn, sleep, , 
